     Species   |       |   WetDep(gas)   |    DryDep(gas)   |WetDep(below-C)| WetDep(in-C)|     DryDepo(particles)  Altern| Radioact.  |     OH Reaction      |
     Name      |molwght| A          B    | D    H        f0 | Crain   Csnow |  ccn    in  |   rho    dquer    dsig    vd  | Halflife[s]|   C**     D[T]  N*** |
 --------------|-------|-----------------|------------------|---------------|-------------|-------------------------------|------------|----------------------|
  1 TRACER     |   29.0|                 |                  |               |             |          0.0E+00    0.0       |            |                   2.0|
  2 O3         |   48.0|                 | 1.6  0.1E-01  1.0|               |             |          0.0E+00    0.0       |            |                   2.0|
  3 NO         |   30.0| 0.8E-05     0.62| 1.2  0.2E-02  0.0|               |             |          0.0E+00    0.0       |            |-0.9E+09           2.0|
  4 NO2        |   46.0| 0.1E-04     0.62| 1.6  0.1E-01  0.1|               |             |          0.0E+00    0.0       |            |-0.9E+09           2.0|
  5 HNO3       |   63.0| 0.8E-03     0.62| 1.9  0.1E+15  0.0|               |             |          0.0E+00    0.0       |            |-0.9E+09           2.0|
  6 HNO2       |   47.0|                 | 1.6  0.1E+06  0.1|               |             |          0.0E+00    0.0       |            |-0.9E+09           2.0|
  7 H2O2       |   34.0| 0.1E-03     0.62| 1.4  0.1E+06  1.0|               |             |          0.0E+00    0.0       |            |-0.9E+09           2.0|
  9 HCHO       |   30.0|                 | 1.3  0.6E+04 -9.0|               |             |          0.0E+00    0.0       |            |-0.9E+09           2.0|
 10 PAN        |  121.0|                 | 2.6  0.4E+01  0.1|               |             |          0.0E+00    0.0       |            |-0.9E+09           2.0|
 11 NH3        |   17.0| 0.1E-03     0.62| 1.1  0.2E+15  0.0|               |             |          0.0E+00    0.0       |            |-0.9E+09           2.0|
 12 SO4-aero   |       |                 |                  |    1.0     1.0|   0.9    0.1| 0.2E+04  0.4E-06    3.3       |            |-0.9E+09           2.0|
 13 NO3-aero   |       |                 |                  |    1.0     1.0|   0.9    0.1| 0.2E+04  0.4E-06    3.3       |            |-0.9E+09           2.0|
 14 I2-131     |       | 0.8E-04     0.62| 2.7  0.1E+06  0.1|               |             |          0.0E+00    0.0       |    691200.0|                   2.0|
 15 I-131      |  350.0|                 |     -0.1E+02     |    1.0     1.0|   0.9    0.1| 0.2E+04  0.6E-06    3.3       |    691200.0|                   2.0|
 16 Cs-137     |       |                 |                  |    1.0     1.0|   0.9    0.9| 0.2E+04  0.4E-06    3.3       |            |                   2.0|
 17 Y-91       |  350.0|                 |                  |    1.0     1.0|   0.9    0.1| 0.2E+04  0.6E-06    3.3       |   5037120.0|                   2.0|
 18 Ru-106     |  350.0|                 |                  |    1.0     1.0|   0.9    0.1| 0.2E+04  0.6E-06    3.3       |  31536000.0|                   2.0|
 19 Kr-85      |   83.8|                 |                  |               |             |          0.0E+00    0.0       |            |                   2.0|
 20 Sr-90      |       |                 |                  |    1.0     1.0|   0.9    0.1| 0.2E+04  0.6E-06    3.3       |            |                   2.0|
 21 Xe-133     |       |                 |                  |               |             |          0.0E+00    0.0       |    453168.0|                   2.0|
 22 CO         |   28.0|                 |                  |               |             |          0.0E+00    0.0       |            |                   2.0|
 23 SO2        |   64.0| 0.2E-04     0.62| 2.0  0.1E+06  0.0|               |             |          0.0E+00    0.0       |            |                   2.0|
 24 AIRTRACER  |   29.0|                 |                  |               |             |          0.0E+00    0.0       |            |                   2.0|
 25 AERO-TRACE |       |                 |                  |    1.0     1.0|   0.9    0.1| 0.1E+04  0.2E-06    1.2       |            |                   2.0|
 26 CH4        |   16.0|                 |                  |               |             |          0.0E+00    0.0       |            | 0.1E-18 1082.0    2.6|
 27 C2H6       |   30.0|                 |                  |               |             |          0.0E+00    0.0       |            | 0.2E-16  498.0    2.0|
 28 C3H8       |   44.0|             0.00|      0.0E+00  0.0|               |             |          0.0E+00    0.0       |            | 0.2E-16   61.0    2.0|
 29 Te-132     |       |                 |                  |    1.0     1.0|   0.9    0.9| 0.2E+04  0.4E-06    3.3       |    281520.0|                   2.0|
 30 I2-131     |       | 0.8E-04     0.62| 2.7  0.1E+06  0.1|               |             |          0.0E+00    0.0       |    691200.0|                   2.0|
 31 PCB28      |  257.5| 0.4E-04     0.62| 4.3  0.3E+01  0.1|               |             |          0.0E+00    0.0       |            | 0.1E-10 1203.0    0.0|
 32 Norm       |       |                 |                  |    1.0     1.0|   0.9    0.9| 0.2E+04  0.4E-06    3.3       |            |                   2.0|
 34 G-HCH      |  290.8| 0.4E-04     0.62| 4.3  0.4E+03  0.1|               |             |          0.0E+00    0.0       |            | 0.6E-10 1203.0    2.0|
 40 BC         |       |                 |                  |    1.0     1.0|   0.9    0.1| 0.2E+04  0.4E-06    3.3       |            |                   2.0|
 ** unit [cm^3/molec/s] (in FLEXPART version 9.2 and below this had unit [cm3/s], note the unit is now changed!)
 *** no unit
